year,month,day,extended_event,country,region,province_state,city,vicinity_area,criteria_political,criteria_economic,criteria_religious,multiple_attacks,successful_attack,suicide_attack,primary_attack_type,primary_target_type,primary_target_subtype,target_nationality,secondary_target_type,group_name,individual_attack,attack_claimed,claim_mode,primary_weapon_type,secondary_weapon_type,secondary_weapon_subtype,num_killed,num_killed_us,num_killed_terrorists,num_wounded,num_wounded_us,num_wounded_terrorists,property_damage,property_extent_code,property_extent,property_value,hostage_incident,ransom_demanded,hostage_outcome_code,hostage_outcome,num_released,month_name
2013,8,16,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,0,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Muslim extremists,0,0.0,Unknown,Explosives,Firearms,Automatic or Semi-Automatic Rifle,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,16,0,Egypt,Middle East & North Africa,Al Sharqia,Unknown,0,1,1,0,0.0,1,0,Armed Assault,Military,Military Transportation/Vehicle (excluding convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,20.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,16,0,Egypt,Middle East & North Africa,Matruh,Marsa Matrouh,0,1,1,0,0.0,1,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,16,0,Egypt,Middle East & North Africa,Cairo,New Cairo,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,1.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,17,0,Egypt,Middle East & North Africa,Unknown,Unknown,0,1,1,0,0.0,1,0,Bombing/Explosion,Military,Paramilitary,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,1.0,0.0,0.0,2.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,17,0,Egypt,Middle East & North Africa,Unknown,Unknown,0,1,1,1,0.0,1,0,Bombing/Explosion,Government (General),Government Building/Facility/Office,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,17,0,Egypt,Middle East & North Africa,North Sinai,Beir Al-Abd,0,1,1,0,0.0,1,0,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,18,0,Egypt,Middle East & North Africa,Ismailia,Ismailia,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),Egypt,Unknown,Muslim Brotherhood,0,0.0,Unknown,Firearms,Unknown,Unknown,2.0,0.0,0.0,2.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,19,0,Egypt,Middle East & North Africa,North Sinai,Rafah,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),Egypt,Unknown,Muslim extremists,0,0.0,Unknown,Explosives,Firearms,Unknown Gun Type,25.0,0.0,0.0,3.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,19,0,Egypt,Middle East & North Africa,Beheira,Beheira,0,1,1,1,0.0,1,0,Armed Assault,Journalists & Media,Newspaper Journalist/Staff/Facility,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,1.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,19,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,1,0,Armed Assault,Business,Bank/Commerce,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,19,0,Egypt,Middle East & North Africa,North Sinai,Sheikh Zuweid,0,1,1,0,0.0,0,0,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,22,0,Egypt,Middle East & North Africa,Ismailia,Unknown,0,1,1,0,0.0,1,0,Armed Assault,Military,Military Transportation/Vehicle (excluding convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,2.0,0.0,0.0,2.0,0.0,0.0,1,4.0,Unknown,-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,22,0,Egypt,Middle East & North Africa,North Sinai,Unknown,0,1,1,1,0.0,1,0,Armed Assault,Journalists & Media,Television Journalist/Staff/Facility,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,24,0,Egypt,Middle East & North Africa,North Sinai,Sheikh Zuweid,0,1,1,0,0.0,1,0,Armed Assault,Military,Military Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,3.0,0.0,3.0,1.0,0.0,1.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,North Sinai,Aakherobh,1,1,1,1,0.0,1,0,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Egypt,Unknown,Muslim extremists,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,1.0,1,0,Bombing/Explosion,Police,Police Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,0,1.0,0,0,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,1.0,1,0,Armed Assault,Journalists & Media,Radio Journalist/Staff/Facility,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,0,1.0,0,0,Armed Assault,Military,Military Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,1.0,1,0,Armed Assault,Religious Figures/Institutions,Place of Worship,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,1.0,1,0,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,0,1.0,0,0,Armed Assault,Military,Military Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,North Sinai,Sheikh Zuweid,0,1,1,1,0.0,1,0,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,25,0,Egypt,Middle East & North Africa,Ismailia,Ismailia,0,1,1,1,0.0,1,0,Armed Assault,Military,Military Checkpoint,Egypt,Business,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,26,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,1.0,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,26,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,1.0,0,0,Armed Assault,Police,Prison/Jail,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,26,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,1.0,0,0,Armed Assault,Government (General),Government Building/Facility/Office,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,26,0,Egypt,Middle East & North Africa,Minya,Malawi district,0,1,1,1,0.0,1,0,Armed Assault,Military,Military Unit/Patrol/Convoy,Egypt,Private Citizens & Property,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,1.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,27,0,Egypt,Middle East & North Africa,North Sinai,Sheikh Zuweid,0,1,1,1,0.0,1,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,4.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,27,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,1,1,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,4.0,0.0,4.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,30,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,1,0,Bombing/Explosion,Business,Bank/Commerce,Egypt,Unknown,Muslim extremists,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,30,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,1,0,Bombing/Explosion,Unknown,Unknown,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,4.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,30,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,2.0,0.0,0.0,1.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,29,0,Egypt,Middle East & North Africa,North Sinai,Sheikh Zuweid,0,1,1,0,0.0,1,0,Armed Assault,Military,Military Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,4.0,0.0,4.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,29,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,31,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,8,31,0,Egypt,Middle East & North Africa,Port Said,Qantara,1,1,1,1,0.0,1,0,Bombing/Explosion,Maritime,Commercial Maritime,Panama,Unknown,Al-Furqan Brigades,0,1.0,"Posted to website, blog, etc.",Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,August
2013,9,1,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,1,0,Armed Assault,Private Citizens & Property,Religion Identified,Egypt,Unknown,Muslim extremists,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,2,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Egypt,Private Citizens & Property,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,4,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,0,0,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,4,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,0,0.0,1,0,Armed Assault,Military,Military Transportation/Vehicle (excluding convoys),Egypt,Unknown,Muslim extremists,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,6.0,0.0,0.0,1,4.0,Unknown,-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,4,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,0,0.0,1,0,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,3.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,5,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,1,Assassination,Government (General),"Government Personnel (excluding police, military)",Egypt,Unknown,Ansar Bayt al-Maqdis (Ansar Jerusalem),0,1.0,"Posted to website, blog, etc.",Explosives,Unknown,Unknown,2.0,0.0,1.0,24.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,5,0,Egypt,Middle East & North Africa,Ismailia,Ismailia,0,1,1,0,0.0,1,0,Armed Assault,Military,Military Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,4,0,Egypt,Middle East & North Africa,Aswan,Aswan,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,1.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,6,0,Egypt,Middle East & North Africa,North Sinai,Arish,1,1,1,1,0.0,1,0,Bombing/Explosion,Business,Construction,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,6,0,Egypt,Middle East & North Africa,Giza,Giza,0,1,1,1,0.0,0,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,7,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,7,0,Egypt,Middle East & North Africa,Unknown,Unknown,0,1,1,1,0.0,0,0,Bombing/Explosion,Transportation,Train/Train Tracks/Trolley,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,7,0,Egypt,Middle East & North Africa,North Sinai,Sheikh Zuweid,0,1,1,0,0.0,1,0,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,2.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,9,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,0,0.0,1,0,Bombing/Explosion,Military,Military Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,1.0,0.0,0.0,2.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,9,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,0,0.0,1,0,Unknown,Military,Military Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,9,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Assassination,Private Citizens & Property,Protester,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,11,0,Egypt,Middle East & North Africa,North Sinai,Rafah,0,1,1,1,1.0,1,1,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Egypt,Private Citizens & Property,Ansar Bayt al-Maqdis (Ansar Jerusalem),0,1.0,"Posted to website, blog, etc.",Explosives,Explosives,"Projectile (rockets, mortars, RPGs, etc.)",4.0,0.0,1.0,9.0,0.0,0.0,1,4.0,Unknown,-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,11,0,Egypt,Middle East & North Africa,North Sinai,Rafah,0,1,1,1,1.0,1,1,Bombing/Explosion,Military,Military Checkpoint,Egypt,Private Citizens & Property,Ansar Bayt al-Maqdis (Ansar Jerusalem),0,1.0,"Posted to website, blog, etc.",Explosives,Unknown,Unknown,4.0,0.0,1.0,8.0,0.0,0.0,1,4.0,Unknown,-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,12,0,Egypt,Middle East & North Africa,Ismailia,Unknown,0,1,1,1,0.0,1,0,Facility/Infrastructure Attack,Utilities,Gas,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,12,0,Egypt,Middle East & North Africa,Qalyubia,Shubra Al Kheima,1,1,1,1,0.0,1,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,15,0,Egypt,Middle East & North Africa,Unknown,Unknown,0,1,1,1,0.0,1,0,Bombing/Explosion,Utilities,Gas,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,16,0,Egypt,Middle East & North Africa,North Sinai,Rafah,1,1,1,1,0.0,1,0,Bombing/Explosion,Police,Police Patrol (including vehicles and convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,9.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,16,0,Egypt,Middle East & North Africa,South Sinai,Unknown,0,1,1,1,0.0,1,0,Armed Assault,Private Citizens & Property,Laborer (General)/Occupation Identified,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,12.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,17,0,Egypt,Middle East & North Africa,Al Sharqia,Salihiyah,0,1,1,0,0.0,1,0,Armed Assault,Military,Military Transportation/Vehicle (excluding convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,2.0,0.0,0.0,2.0,0.0,0.0,1,4.0,Unknown,-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,17,0,Egypt,Middle East & North Africa,Damietta,Unknown,0,1,1,1,0.0,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,20,0,Egypt,Middle East & North Africa,North Sinai,Rafah,0,1,1,1,0.0,1,0,Bombing/Explosion,Police,Police Patrol (including vehicles and convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,21,0,Egypt,Middle East & North Africa,North Sinai,Sheikh Zuweid,0,1,1,0,0.0,1,0,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,1,4.0,Unknown,-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,23,0,Egypt,Middle East & North Africa,Port Said,Port Said,0,1,1,1,0.0,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,24,0,Egypt,Middle East & North Africa,Ismailia,Ismailia,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,2.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,25,0,Egypt,Middle East & North Africa,North Sinai,Rafah,0,1,1,0,0.0,1,0,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,4.0,0.0,0.0,1,4.0,Unknown,-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,27,0,Egypt,Middle East & North Africa,Qalyubia,Mostorod district,0,1,1,1,0.0,1,0,Bombing/Explosion,Police,Police Checkpoint,Egypt,Private Citizens & Property,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,4.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,28,0,Egypt,Middle East & North Africa,North Sinai,Sheikh Zuweid,0,1,1,0,1.0,1,0,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,28,0,Egypt,Middle East & North Africa,North Sinai,Al-Qusayma,0,1,1,0,1.0,1,0,Armed Assault,Military,Military Checkpoint,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,28,0,Egypt,Middle East & North Africa,Suez,Suez,0,1,1,1,0.0,1,0,Bombing/Explosion,Religious Figures/Institutions,Religious Figure,Egypt,Private Citizens & Property,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,3.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,0.0,0.0,Unknown,Unknown,0.0,September
2013,9,30,0,Egypt,Middle East & North Africa,North Sinai,Arish,0,1,1,1,0.0,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,2.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
